record_no,snapshot_index,snapshot_time,source_file,vector_index,target_id,callsign,timestamp,timestamp_source,lat,lon,altitude,alt_type,speed,heading,vertical_rate,on_ground,required_ok,parse_errors
59,3,1786673174,opensky_central_europe_snapshot_03.json,12,4b5c39,GALA21,1786673173,position_time,47.4579,8.549,,unknown,4.89,247.5,,true,true,
60,3,1786673174,opensky_central_europe_snapshot_03.json,13,4b5c1b,URSULA8,1786673172,position_time,47.4568,8.5628,,unknown,0.0,118.12,,true,true,
61,3,1786673174,opensky_central_europe_snapshot_03.json,14,440b61,TAY5DN,1786673173,position_time,49.484,5.0333,10957.56,barometric,233.06,36.11,5.85,false,true,
62,3,1786673174,opensky_central_europe_snapshot_03.json,15,48ea3a,ENT1511,1786673174,position_time,47.8793,8.0462,10972.8,barometric,229.54,225.45,0.0,false,true,
63,3,1786673174,opensky_central_europe_snapshot_03.json,16,424cbf,MACOR,1786673173,position_time,46.8685,11.209,9730.74,barometric,243.53,222.86,-8.13,false,true,
64,3,1786673174,opensky_central_europe_snapshot_03.json,17,a61c53,THY6091,1786673173,position_time,49.3949,10.7743,10363.2,barometric,243.05,288.51,0.0,false,true,
65,3,1786673174,opensky_central_europe_snapshot_03.json,18,8966d5,ETD2,1786673173,position_time,47.8813,7.6513,11277.6,barometric,258.28,104.06,0.0,false,true,
66,3,1786673174,opensky_central_europe_snapshot_03.json,19,4d253b,EWG40C,1786673174,position_time,46.5154,5.7767,11277.6,barometric,225.56,195.75,0.33,false,true,
67,3,1786673174,opensky_central_europe_snapshot_03.json,20,45b534,GAV596,1786673173,position_time,48.7388,9.4245,11582.4,barometric,222.93,302.37,0.33,false,true,
68,3,1786673174,opensky_central_europe_snapshot_03.json,21,4d240c,EWG53L,1786673173,position_time,49.2319,10.5875,5372.1,barometric,193.84,248.68,9.1,false,true,
69,3,1786673174,opensky_central_europe_snapshot_03.json,22,ad35c8,N950MP,1786673174,position_time,45.9295,11.3345,13716.0,barometric,255.71,118.21,-0.33,false,true,
70,3,1786673174,opensky_central_europe_snapshot_03.json,23,3889ff,LA2,1786673173,position_time,45.7164,5.0926,,unknown,8.23,81.56,,true,true,
71,3,1786673174,opensky_central_europe_snapshot_03.json,24,4b17fd,SWR7DC,1786673098,position_time,47.4443,8.5674,,unknown,0.39,244.69,,true,true,
