record_no,snapshot_index,target_id,field,source_value,source_valid,protocol_code,decoded_value,decoded_valid,absolute_error,tolerance,quantization_units,passed
17,1,8966d5,altitude,11277.6,true,12278,11278,true,0.3999999999996362,1.0,0.3999999999996362,true
17,1,8966d5,speed,259.27,true,2593,259.3,true,0.03000000000002956,0.1,0.3000000000002956,true
17,1,8966d5,heading,104.01,true,10401,104.01,true,0.0,0.01,0.0,true
17,1,8966d5,vertical_rate,0.0,true,32768,0.0,true,0.0,0.01,0.0,true
17,1,8966d5,callsign,ETD2,true,ETD2,ETD2,true,,exact,,true
18,1,4d253b,lat,46.5527,true,3181908,46.552709711244034,true,9.711244032928334e-06,4.2915354470099084e-05,0.22628833322801895,true
18,1,4d253b,lon,5.7932,true,2164647,5.793186615273129,true,1.3384726870846464e-05,8.583070894019817e-05,0.15594333352381093,true
18,1,4d253b,altitude,11277.6,true,12278,11278,true,0.3999999999996362,1.0,0.3999999999996362,true
18,1,4d253b,speed,224.65,true,2247,224.70000000000002,true,0.05000000000001137,0.1,0.5000000000001137,true
18,1,4d253b,heading,200.51,true,20051,200.51,true,0.0,0.01,0.0,true
18,1,4d253b,vertical_rate,0.0,true,32768,0.0,true,0.0,0.01,0.0,true
18,1,4d253b,callsign,EWG40C,true,EWG40C,EWG40C,true,,exact,,true
19,1,45b534,lat,48.7181,true,3232365,48.71808975174184,true,1.0248258156764223e-05,4.2915354470099084e-05,0.23880166628717028,true
19,1,45b534,lon,9.474,true,2207532,9.474036568173517,true,3.656817351682662e-05,8.583070894019817e-05,0.4260499996837401,true
19,1,45b534,altitude,11582.4,true,12582,11582,true,0.3999999999996362,1.0,0.3999999999996362,true
19,1,45b534,speed,222.93,true,2229,222.9,true,0.030000000000001137,0.1,0.30000000000001137,true
19,1,45b534,heading,302.37,true,30237,302.37,true,0.0,0.01,0.0,true
19,1,45b534,vertical_rate,0.0,true,32768,0.0,true,0.0,0.01,0.0,true
19,1,45b534,callsign,GAV596,true,GAV596,GAV596,true,,exact,,true
20,1,4d240c,lat,49.244,true,3244620,49.24401742077288,true,1.7420772877585478e-05,4.2915354470099084e-05,0.4059333330154189,true
20,1,4d240c,lon,10.6347,true,2221055,10.634725245171836,true,2.5245171835663882e-05,8.583070894019817e-05,0.29412749990511255,true
20,1,4d240c,altitude,5189.22,true,6189,5189,true,0.22000000000025466,1.0,0.22000000000025466,true
20,1,4d240c,speed,186.49,true,1865,186.5,true,0.009999999999990905,0.1,0.09999999999990905,true
